Planet,H2O,CO2,O3,CH4,O2,CO2 high,O2 high
HATP1b,7.56E-03,1.12E-01,9.43E-02,6.60E-02,2.73E-02,1.12E-01,9.64E-02
HATP12b,3.93E-03,9.51E-02,2.94E-03,1.32E-03,1.07E-03,9.05E-02,1.08E-01
HD189733b,4.44E-03,1.04E-01,1.25E-03,1.41E-03,1.19E-03,1.04E-01,1.43E-01
HD209458b,1.08E-01,1.25E-01,6.98E-02,1.23E-01,1.25E-01,1.25E-01,1.68E-01
Jupiter,4.50E-03,1.75E-01,3.78E-01,2.00E-03,1.33E-02,1.75E-01,2.67E-01
WASP6b,1.99E-03,5.27E-02,1.94E-03,1.06E-03,7.41E-04,5.27E-02,1.08E-01
WASP39b,1.27E-01,1.13E-01,1.33E-01,8.86E-02,5.35E-02,1.13E-01,9.23E-02
Sim1,4.48E-03,6E-02,9.67E-04,2.27E-03,1.62E-03,6E-02,4.17E-02
Sim2,5.99E-03,1.5E-01,7.43E-02,2.19E-03,1.90E-03,1.5E-01,2.8E-01
Sim3,8.23E-02,1.34E-01,1.51E-01,7.78E-02,3.31E-02,1.35E-01,1.09E-01
Sim4,1.75E-01,1.44E-01,9.05E-03,1.13E-01,6.93E-02,1.44E-01,2.12E-01